日付,始値,高値,安値,終値,出来高,売買代金
2007-12-28,368.00,369.00,360.00,364.00,9141000,3333003000
2007-12-27,370.00,378.00,369.00,373.00,25679000,9626239000
2007-12-26,364.00,373.00,357.00,373.00,23112000,8498406000
2007-12-25,360.00,364.00,356.00,363.00,16470000,5936801000
2007-12-21,343.00,352.00,342.00,350.00,20728000,7198915000
2007-12-20,346.00,349.00,343.00,345.00,17475000,6039101000
2007-12-19,347.00,357.00,338.00,340.00,26766000,9318106000
2007-12-18,336.00,344.00,332.00,342.00,32983000,11149226000
2007-12-17,351.00,356.00,340.00,341.00,19653000,6836022000
2007-12-14,371.00,373.00,356.00,361.00,21114000,7711739000
2007-12-13,375.00,381.00,370.00,370.00,24101000,9029357000
2007-12-12,367.00,378.00,363.00,376.00,17877000,6631383000
2007-12-11,369.00,374.00,364.00,371.00,17197000,6366709000
2007-12-10,365.00,369.00,359.00,361.00,20647000,7519326000
2007-12-07,358.00,370.00,357.00,364.00,26481000,9640042000
2007-12-06,354.00,354.00,345.00,351.00,12648000,4420919000
2007-12-05,350.00,351.00,341.00,345.00,17237000,5962730000
2007-12-04,365.00,366.00,352.00,354.00,11445000,4083746000
2007-12-03,373.00,374.00,360.00,362.00,20327000,7445051000
2007-11-30,351.00,369.00,351.00,363.00,26349000,9528367000
2007-11-29,351.00,352.00,347.00,350.00,11858000,4143831000
2007-11-28,340.00,346.00,334.00,338.00,15331000,5202046000
2007-11-27,329.00,340.00,327.00,335.00,17889000,5943244000
2007-11-26,337.00,344.00,333.00,338.00,19393000,6571511000
2007-11-22,327.00,338.00,322.00,336.00,21233000,7027052000
2007-11-21,341.00,343.00,331.00,332.00,30690000,10319643000
2007-11-20,331.00,349.00,326.00,348.00,29267000,9820738000
2007-11-19,361.00,366.00,348.00,349.00,13050000,4623591000
2007-11-16,362.00,362.00,355.00,358.00,9071000,3254389000
2007-11-15,370.00,383.00,368.00,369.00,14606000,5482268000
2007-11-14,366.00,372.00,364.00,367.00,15777000,5804318000
2007-11-13,357.00,360.00,348.00,351.00,18640000,6596685000
2007-11-12,364.00,364.00,352.00,359.00,19696000,7070137000
2007-11-09,378.00,383.00,370.00,371.00,14298000,5382523000
2007-11-08,375.00,377.00,368.00,376.00,18737000,6987934000
2007-11-07,392.00,397.00,381.00,383.00,19368000,7536864000
2007-11-06,377.00,391.00,377.00,385.00,23551000,9068584000
2007-11-05,393.00,396.00,377.00,381.00,29461000,11316971000
2007-11-02,403.00,406.00,400.00,403.00,15390000,6203101000
2007-11-01,411.00,416.00,411.00,411.00,9401000,3886381000
2007-10-31,408.00,411.00,403.00,411.00,12579000,5125410000
2007-10-30,424.00,425.00,408.00,418.00,11814000,4922880000
2007-10-29,421.00,426.00,420.00,422.00,6839000,2893026000
2007-10-26,410.00,417.00,407.00,417.00,11584000,4786460000
