日付,始値,高値,安値,終値,出来高,売買代金
2009-12-30,173.00,174.00,168.00,168.00,7228000,1230687000
2009-12-29,174.00,175.00,172.00,172.00,8358000,1446350000
2009-12-28,173.00,175.00,172.00,173.00,8160000,1417017000
2009-12-25,173.00,173.00,170.00,171.00,6180000,1058252000
2009-12-24,169.00,173.00,169.00,172.00,13030000,2233122000
2009-12-22,167.00,169.00,166.00,168.00,6233000,1044137000
2009-12-21,168.00,168.00,165.00,166.00,6701000,1117867000
2009-12-18,168.00,171.00,167.00,167.00,8976000,1509594000
2009-12-17,168.00,171.00,167.00,170.00,11986000,2031320000
2009-12-16,167.00,169.00,165.00,166.00,5299000,882610000
2009-12-15,165.00,167.00,164.00,165.00,8545000,1411054000
2009-12-14,166.00,168.00,164.00,166.00,7690000,1278034000
2009-12-11,165.00,168.00,162.00,168.00,15720000,2601864000
2009-12-10,163.00,165.00,161.00,163.00,10710000,1745345000
2009-12-09,163.00,165.00,162.00,164.00,12819000,2100466000
2009-12-08,164.00,165.00,162.00,164.00,7739000,1266891000
2009-12-07,167.00,169.00,163.00,165.00,12095000,2001480000
2009-12-04,164.00,165.00,159.00,161.00,9642000,1559806000
2009-12-03,157.00,163.00,156.00,163.00,18224000,2928903000
2009-12-02,149.00,156.00,149.00,153.00,9364000,1427179000
2009-12-01,146.00,153.00,145.00,152.00,9879000,1482899000
2009-11-30,145.00,148.00,144.00,147.00,10243000,1498675000
2009-11-27,144.00,145.00,142.00,144.00,8930000,1281542000
2009-11-26,143.00,149.00,142.00,149.00,12016000,1766528000
2009-11-25,150.00,150.00,144.00,144.00,14034000,2055143000
2009-11-24,151.00,154.00,148.00,148.00,6497000,979376000
2009-11-20,148.00,151.00,148.00,150.00,6342000,949642000
2009-11-19,151.00,152.00,147.00,149.00,13667000,2035769000
2009-11-18,156.00,157.00,153.00,154.00,8921000,1379846000
2009-11-17,160.00,161.00,158.00,159.00,4701000,748988000
2009-11-16,160.00,161.00,158.00,160.00,5017000,800562000
2009-11-13,161.00,161.00,158.00,160.00,8395000,1343458000
2009-11-12,166.00,167.00,161.00,161.00,11246000,1838652000
2009-11-11,165.00,167.00,164.00,166.00,6582000,1089264000
2009-11-10,165.00,167.00,164.00,166.00,5660000,938621000
2009-11-09,165.00,167.00,163.00,163.00,8005000,1321385000
2009-11-06,167.00,167.00,163.00,166.00,9982000,1651062000
2009-11-05,167.00,168.00,165.00,165.00,7216000,1197801000
2009-11-04,162.00,167.00,161.00,167.00,8062000,1329292000
2009-11-02,160.00,163.00,159.00,162.00,7145000,1155649000
2009-10-30,164.00,168.00,163.00,168.00,9455000,1572385000
2009-10-29,159.00,163.00,154.00,161.00,16052000,2567267000
2009-10-28,164.00,164.00,162.00,163.00,6820000,1112417000
2009-10-27,164.00,165.00,163.00,164.00,4567000,748156000
2009-10-26,167.00,169.00,166.00,167.00,7549000,1264453000
2009-10-23,169.00,170.00,164.00,165.00,8909000,1489287000
2009-10-22,168.00,171.00,167.00,168.00,6015000,1012365000
2009-10-21,169.00,171.00,169.00,170.00,5268000,894518000
2009-10-20,172.00,173.00,170.00,172.00,7326000,1254087000
2009-10-19,167.00,171.00,167.00,170.00,6747000,1137660000
2009-10-16,171.00,171.00,168.00,169.00,7002000,1185174000
2009-10-15,170.00,172.00,168.00,170.00,12792000,2175391000
2009-10-14,168.00,169.00,164.00,165.00,13779000,2290605000
2009-10-13,170.00,172.00,166.00,167.00,18073000,3063406000
2009-10-09,159.00,163.00,159.00,163.00,8918000,1439207000
2009-10-08,158.00,161.00,156.00,158.00,13498000,2134687000
2009-10-07,153.00,158.00,153.00,158.00,12586000,1965073000
2009-10-06,152.00,152.00,149.00,151.00,11415000,1721399000
2009-10-05,150.00,151.00,147.00,148.00,7008000,1043360000
2009-10-02,151.00,153.00,148.00,151.00,12249000,1840825000
2009-10-01,160.00,163.00,155.00,156.00,11522000,1835619000
2009-09-30,158.00,159.00,156.00,157.00,7276000,1144853000
2009-09-29,159.00,162.00,157.00,159.00,18445000,2945746000
2009-09-28,156.00,157.00,151.00,151.00,15319000,2337856000
2009-09-25,162.00,163.00,159.00,159.00,7446000,1195109000
2009-09-24,164.00,166.00,163.00,165.00,6657000,1094422000
2009-09-18,164.00,165.00,163.00,164.00,8806000,1444295000
2009-09-17,165.00,168.00,164.00,167.00,12090000,2009850000
2009-09-16,164.00,165.00,162.00,162.00,6658000,1089169000
2009-09-15,165.00,166.00,161.00,161.00,6899000,1121224000
2009-09-14,167.00,167.00,163.00,165.00,5990000,987231000
2009-09-11,170.00,171.00,166.00,168.00,11352000,1915810000
2009-09-10,172.00,173.00,168.00,170.00,20864000,3542846000
2009-09-09,168.00,171.00,167.00,171.00,13422000,2282298000
2009-09-08,169.00,171.00,168.00,170.00,6954000,1179821000
2009-09-07,166.00,168.00,165.00,168.00,7493000,1250077000
2009-09-04,168.00,168.00,161.00,163.00,10208000,1673724000
2009-09-03,168.00,170.00,167.00,168.00,11501000,1941234000
2009-09-02,170.00,170.00,166.00,169.00,9154000,1540326000
2009-09-01,172.00,175.00,170.00,172.00,7439000,1282622000
2009-08-31,176.00,179.00,171.00,172.00,10509000,1828018000
2009-08-28,177.00,178.00,175.00,175.00,9686000,1704765000
2009-08-27,180.00,181.00,176.00,177.00,8718000,1551352000
2009-08-26,184.00,185.00,181.00,182.00,7729000,1410552000
2009-08-25,184.00,185.00,182.00,183.00,8646000,1582285000
2009-08-24,183.00,186.00,182.00,184.00,9674000,1779689000
2009-08-21,182.00,186.00,178.00,181.00,27252000,4959176000
2009-08-20,178.00,180.00,173.00,177.00,15558000,2741063000
2009-08-19,175.00,178.00,174.00,174.00,5483000,963056000
2009-08-18,174.00,176.00,172.00,175.00,9691000,1693829000
2009-08-17,183.00,184.00,176.00,177.00,10503000,1887457000
2009-08-14,183.00,185.00,182.00,185.00,7463000,1374685000
2009-08-13,183.00,185.00,180.00,182.00,8503000,1552985000
2009-08-12,182.00,183.00,180.00,180.00,6027000,1091667000
2009-08-11,183.00,185.00,181.00,184.00,10576000,1936807000
2009-08-10,186.00,187.00,183.00,184.00,7513000,1385243000
2009-08-07,185.00,186.00,180.00,183.00,12576000,2292457000
2009-08-06,180.00,189.00,180.00,188.00,15049000,2774957000
2009-08-05,184.00,184.00,181.00,181.00,4741000,863201000
2009-08-04,185.00,185.00,181.00,183.00,9380000,1716569000
2009-08-03,182.00,183.00,179.00,182.00,6486000,1172435000
2009-07-31,182.00,183.00,180.00,183.00,7196000,1308826000
2009-07-30,183.00,183.00,175.00,180.00,16993000,3051000000
2009-07-29,179.00,184.00,177.00,180.00,18459000,3339654000
2009-07-28,179.00,183.00,175.00,182.00,15490000,2785414000
2009-07-27,180.00,181.00,177.00,178.00,6385000,1144307000
2009-07-24,178.00,179.00,176.00,177.00,6498000,1152106000
2009-07-23,169.00,174.00,169.00,173.00,7548000,1294937000
2009-07-22,167.00,173.00,166.00,171.00,11206000,1903091000
2009-07-21,167.00,169.00,166.00,169.00,7719000,1295086000
2009-07-17,163.00,165.00,160.00,163.00,4826000,783744000
2009-07-16,165.00,167.00,162.00,162.00,8329000,1371426000
2009-07-15,161.00,164.00,159.00,160.00,8937000,1441052000
2009-07-14,159.00,161.00,157.00,159.00,5312000,844150000
2009-07-13,156.00,159.00,151.00,153.00,11042000,1702776000
2009-07-10,164.00,167.00,159.00,160.00,7975000,1291144000
2009-07-09,163.00,167.00,162.00,163.00,10401000,1704887000
2009-07-08,171.00,171.00,165.00,166.00,16610000,2777142000
2009-07-07,179.00,180.00,174.00,174.00,7849000,1379126000
2009-07-06,182.00,183.00,176.00,178.00,10968000,1963902000
2009-07-03,181.00,184.00,180.00,183.00,13240000,2404014000
2009-07-02,180.00,187.00,178.00,185.00,17667000,3239458000
2009-07-01,178.00,180.00,176.00,178.00,7988000,1420707000
2009-06-30,179.00,181.00,178.00,180.00,13230000,2380461000
2009-06-29,179.00,180.00,174.00,174.00,5161000,913361000
2009-06-26,182.00,183.00,177.00,179.00,8691000,1561608000
2009-06-25,174.00,181.00,173.00,179.00,12149000,2154379000
2009-06-24,176.00,177.00,173.00,173.00,11402000,1987484000
