日付,始値,高値,安値,終値,出来高,売買代金
2010-12-30,209.00,209.00,204.00,206.00,10070000,2078950000
2010-12-29,208.00,211.00,207.00,210.00,7116000,1487235000
2010-12-28,206.00,210.00,206.00,209.00,7456000,1549223000
2010-12-27,208.00,209.00,206.00,207.00,8863000,1837220000
2010-12-24,211.00,211.00,207.00,208.00,7707000,1608561000
2010-12-22,210.00,215.00,209.00,212.00,14202000,3020870000
2010-12-21,209.00,212.00,209.00,211.00,8791000,1850851000
2010-12-20,211.00,212.00,208.00,210.00,8122000,1707941000
2010-12-17,212.00,213.00,211.00,211.00,11391000,2412877000
2010-12-16,209.00,212.00,208.00,210.00,14426000,3029944000
2010-12-15,211.00,211.00,206.00,208.00,11993000,2495670000
2010-12-14,209.00,210.00,208.00,210.00,9967000,2084355000
2010-12-13,207.00,210.00,207.00,210.00,16857000,3514318000
2010-12-10,209.00,209.00,205.00,206.00,22270000,4625687000
2010-12-09,208.00,209.00,207.00,208.00,10877000,2262041000
2010-12-08,204.00,210.00,203.00,209.00,23866000,4948603000
2010-12-07,204.00,205.00,202.00,204.00,15360000,3124460000
2010-12-06,200.00,205.00,200.00,203.00,23003000,4656091000
2010-12-03,198.00,198.00,196.00,197.00,9201000,1815084000
2010-12-02,197.00,198.00,194.00,196.00,13452000,2638114000
2010-12-01,190.00,194.00,189.00,193.00,11376000,2180674000
2010-11-30,195.00,196.00,190.00,190.00,9476000,1823196000
2010-11-29,194.00,197.00,193.00,196.00,6845000,1339267000
2010-11-26,194.00,197.00,193.00,193.00,12411000,2418707000
2010-11-25,190.00,194.00,190.00,192.00,8242000,1580193000
2010-11-24,189.00,192.00,188.00,190.00,9378000,1783385000
2010-11-22,189.00,193.00,188.00,192.00,14078000,2689053000
2010-11-19,189.00,189.00,186.00,187.00,13820000,2596859000
2010-11-18,184.00,187.00,183.00,187.00,8033000,1493096000
2010-11-17,183.00,185.00,183.00,183.00,7147000,1312143000
2010-11-16,188.00,189.00,185.00,186.00,9775000,1821230000
2010-11-15,189.00,190.00,186.00,187.00,5283000,988930000
2010-11-12,187.00,189.00,186.00,188.00,6463000,1211873000
2010-11-11,191.00,192.00,188.00,189.00,5396000,1022196000
2010-11-10,191.00,192.00,190.00,191.00,9372000,1789370000
2010-11-09,187.00,189.00,186.00,189.00,5554000,1045905000
2010-11-08,187.00,187.00,185.00,187.00,6087000,1134857000
2010-11-05,183.00,186.00,182.00,185.00,11119000,2050218000
2010-11-04,179.00,182.00,179.00,179.00,9607000,1728723000
2010-11-02,175.00,176.00,174.00,175.00,10115000,1768204000
