日付,始値,高値,安値,終値,出来高,売買代金
2016-12-30,1110.00,1122.00,1103.00,1117.00,2103000,2343746000
2016-12-29,1168.00,1168.00,1120.00,1128.00,3731200,4224914300
2016-12-28,1155.00,1185.00,1155.00,1180.00,2630100,3092757200
2016-12-27,1143.00,1163.00,1135.00,1147.00,2324700,2672617300
2016-12-26,1166.00,1178.00,1148.00,1155.00,2866500,3323244700
2016-12-22,1180.00,1185.00,1162.00,1180.00,2991100,3518788100
2016-12-21,1210.00,1223.00,1180.00,1189.00,2598100,3111865000
2016-12-20,1197.00,1210.00,1176.00,1203.00,4335900,5182211300
2016-12-19,1237.00,1237.00,1213.00,1215.00,3535400,4316209800
2016-12-16,1252.00,1266.00,1250.00,1258.00,3146700,3956737300
2016-12-15,1254.00,1270.00,1225.00,1239.00,3949400,4914922300
2016-12-14,1260.00,1266.00,1241.00,1251.00,3017800,3774734100
2016-12-13,1230.00,1265.00,1212.00,1255.00,3899800,4862436500
2016-12-12,1280.00,1300.00,1224.00,1254.00,6220100,7834260800
2016-12-09,1250.00,1274.00,1241.00,1270.00,5566700,7009759900
2016-12-08,1209.00,1242.00,1190.00,1240.00,8089900,9893235000
2016-12-07,1155.00,1200.00,1155.00,1200.00,6662700,7883918400
2016-12-06,1115.00,1152.00,1113.00,1152.00,6051200,6877072700
2016-12-05,1084.00,1098.00,1076.00,1092.00,2654900,2891592300
2016-12-02,1080.00,1093.00,1073.00,1091.00,4117200,4461482700
2016-12-01,1111.00,1119.00,1085.00,1090.00,4546300,5007813200
2016-11-30,1101.00,1104.00,1077.00,1079.00,4951400,5373524800
2016-11-29,1127.00,1134.00,1120.00,1121.00,3288000,3700376600
2016-11-28,1108.00,1139.00,1096.00,1139.00,6275900,7046822700
2016-11-25,1114.00,1155.00,1111.00,1126.00,8246200,9359464600
2016-11-24,1034.00,1113.00,1031.00,1103.00,9080700,9837896500
2016-11-22,995.00,1007.00,990.00,1004.00,2560000,2557389000
2016-11-21,1006.00,1009.00,988.00,996.00,2372800,2361361700
2016-11-18,1002.00,1012.00,996.00,1001.00,3163100,3172776000
2016-11-17,979.00,995.00,978.00,989.00,3456800,3406627200
2016-11-16,1020.00,1028.00,1010.00,1012.00,4611500,4690478900
2016-11-15,989.00,1023.00,982.00,1003.00,7013800,7016477000
2016-11-14,940.00,984.00,939.00,982.00,6256300,6090725200
2016-11-11,910.00,950.00,910.00,933.00,8450000,7899141400
2016-11-10,863.00,903.00,850.00,900.00,7879900,6935856400
2016-11-09,878.00,894.00,803.00,818.00,8065700,6823317200
2016-11-08,868.00,878.00,865.00,875.00,4334900,3778278000
2016-11-07,853.00,865.00,853.00,862.00,2939900,2530574800
2016-11-04,856.00,860.00,842.00,845.00,3776500,3203274100
2016-11-02,868.00,873.00,859.00,862.00,4056700,3510540500
2016-11-01,860.00,876.00,854.00,875.00,4031000,3491169500
2016-10-31,874.00,877.00,860.00,868.00,2805500,2436889400
2016-10-28,864.00,878.00,863.00,874.00,3711700,3237998400
2016-10-27,856.00,867.00,854.00,857.00,3160800,2717883900
2016-10-26,840.00,854.00,840.00,853.00,2960700,2507210100
2016-10-25,858.00,864.00,847.00,848.00,3499700,2988387000
2016-10-24,863.00,865.00,852.00,863.00,2518800,2163638300
2016-10-21,859.00,867.00,856.00,862.00,2898500,2498066800
2016-10-20,857.00,866.00,853.00,866.00,2910800,2505804800
2016-10-19,857.00,858.00,847.00,853.00,2546500,2171158500
2016-10-18,846.00,854.00,837.00,850.00,2491300,2108397100
2016-10-17,841.00,852.00,840.00,846.00,2761900,2332530300
2016-10-14,837.00,845.00,833.00,842.00,2764300,2320162300
